,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
1002,1058,trollhunters,11,0,4,9
1003,1059,apex,0,9,13,40
1004,1060,perfect sense,1,11,8,33
1005,1061,deep rising,0,5,14,18
1006,1062,southland tales,2,1,5,113
1007,1063,iron sky,0,5,2,2
1008,1064,abre los ojos,1,4,8,168
1009,1065,the powerpuff girls,11,0,4,9
1010,1066,rim of the world,0,5,2,2
1011,1067,how i live now,0,5,1,39
1012,1069,land of the dead,12,9,13,162
1013,1070,the last days on mars,4,15,8,34
1014,1071,enemy mine,0,5,1,39
1015,1072,nuevo orden,3,1,8,114
1016,1073,captain underpants: the first epic movie,11,0,4,9
1017,1074,the vast of night,1,4,8,168
1018,1075,black mirror: bandersnatch,1,8,5,31
1019,1077,if i stay,1,8,16,125
1020,1078,solos,1,8,8,70
1021,1079,mr. peabody & sherman,11,5,2,12
1022,1080,rogue squadron,0,5,1,39
1023,1081,justice league dark: apokolips war,11,0,4,9
1024,1082,birds of prey,0,5,1,39
1025,1083,the jacket,1,8,5,31
1026,1085,mac and me,4,2,11,45
1027,1086,untitled taika waititi star wars film,0,5,9,37
1028,1087,altered states,12,9,13,162
1029,1088,the cave,4,15,8,34
1030,1089,army of the dead: lost vegas,11,0,3,64
1031,1090,2:22,1,4,10,54
1032,1091,mork & mindy,2,10,8,17
1033,1092,batman beyond,11,0,4,9
1034,1093,the relic,12,4,8,11
1035,1094,the one i love,2,1,9,32
1036,1095,in the earth,12,4,8,11
1037,1096,dr. who and the daleks,4,1,8,63
1038,1097,the toxic avenger,0,2,14,95
1039,1099,encounter,1,9,13,6
1040,1100,dark cloud,12,9,13,162
1041,1101,the double,2,1,5,113
1042,1102,outside the wire,0,5,9,37
1043,1103,pj masks,11,0,4,9
1044,1104,battle beyond the stars,0,5,8,8
1045,1106,thx 1138,1,9,13,6
1046,1107,batman: arkham knight,0,5,3,56
1047,1108,the andromeda strain,5,9,13,26
1048,1109,rwby,11,0,4,9
1049,1110,hit-monkey,11,0,4,9
1050,1111,voyage to the bottom of the sea,0,5,8,8
1051,1112,blood drive,0,5,2,2
1052,1113,v-wars,1,15,8,42
1053,1114,the curse of the were-rabbit,11,5,2,12
1054,1115,antiviral,12,4,8,11
1055,1116,volcano,0,1,8,5
1056,1118,over the moon,11,5,2,12
1057,1119,attack the block,0,5,2,2
1058,1120,flubber,2,10,8,17
1059,1121,gremlins 3,2,8,14,44
1060,1122,2046,1,11,8,33
1061,1123,village of the damned,12,9,13,162
1062,1124,spaceman,4,1,8,63
1063,1125,mortal kombat: annihilation,0,5,9,37
1064,1126,who am i - kein system ist sicher,3,1,5,15
1065,1128,prospect,4,1,8,63
1066,1129,star trek iii: the search for spock,0,5,8,8
1067,1130,horizon zero dawn,0,5,5,29
1068,1131,65,4,1,8,63
1069,1132,europa report,4,1,5,80
1070,1133,armor wars,0,5,1,39
1071,1134,the greatest american hero,4,2,8,178
1072,1135,das privileg,1,15,5,19
1073,1136,odd squad,0,5,2,2
1074,1137,osmosis jones,11,0,4,9
1075,1138,spectral,0,5,8,8
1076,1139,forever young,1,11,8,33
1077,1140,quarantine,12,9,13,162
1078,1141,bill & ted's bogus journey,4,2,9,38
1079,1142,away,1,11,8,33
1080,1143,the titan,1,4,10,54
1081,1145,spy kids 4: all the time in the world,0,5,2,2
1082,1146,the first purge,0,15,8,23
1083,1147,marvel studios: legends,13,0,9,116
1084,1148,these final hours,1,9,13,6
1085,1149,the lego ninjago movie,11,0,4,9
1086,1150,the prisoner,1,4,8,168
1087,1151,spring,12,11,8,108
1088,1152,the stepford wives,2,15,8,4
1089,1153,frankenhooker,2,15,8,4
1090,1154,jiu jitsu,0,9,13,40
1091,1155,star wars: resistance,11,0,4,9
1092,1156,maggie,1,15,8,42
1093,1157,inspector gadget,0,5,2,2
1094,1158,the boys from brazil,1,4,8,168
1095,1159,cherry 2000,0,5,2,2
1096,1160,sea fever,1,15,5,19
1097,1161,the sand,2,15,8,4
1098,1162,star trek: generations,0,5,5,29
1099,1164,buzz lightyear of star command,11,0,4,9
1100,1165,robocop 3,0,3,8,77
1101,1166,the space between us,1,11,8,33
1102,1167,split second,0,3,14,24
1103,1169,titan a.e.,11,0,4,9
1104,1170,living with yourself,2,1,8,75
1105,1171,night of the comet,2,15,8,4
1106,1172,disturbing behavior,12,4,8,11
1107,1173,cyborg,0,9,13,40
1108,1174,race to witch mountain,0,5,11,28
1109,1175,strawberry mansion,4,2,1,169
1110,1176,dragon ball z: doragon bôru zetto,11,0,4,9
1111,1177,adventure time: distant lands,11,0,4,9
1112,1178,virtuosity,0,3,8,77
1113,1179,supernova,12,9,13,162
1114,1180,stealth,0,5,8,8
1115,1181,monsters of man,0,9,13,40
1116,1182,tales of the jedi,11,16,0,7
1117,1183,junior,2,11,8,79
1118,1184,cargo,1,15,8,42
1119,1185,halloween iii: season of the witch,12,4,8,11
1120,1186,the one,0,9,13,40
1121,1187,star trek v: the final frontier,0,5,9,37
1122,1189,bad taste,2,15,8,4
1123,1190,fahrenheit 451,1,9,13,6
1124,1191,soldier,0,1,8,5
1125,1192,red planet,0,9,13,40
1126,1193,the last drive-in with joe bob briggs,2,8,14,44
1127,1194,marvel zombies,11,0,4,9
1128,1195,the stuff,2,15,8,4
1129,1196,cold skin,0,15,8,23
1130,1198,tribes of europa,0,5,1,39
1131,1199,starship troopers 2: hero of the federation,0,5,14,18
1132,1200,without warning,12,9,13,162
1133,1201,scoob!: holiday haunt,11,5,2,12
1134,1202,cooties,0,2,14,95
1135,1203,hotel artemis,0,3,1,184
1136,1204,the last son,0,5,3,56
1137,1205,monster trucks,0,5,2,2
1138,1206,the division,0,9,13,40
1139,1207,parallel,1,4,8,168
1140,1208,the final countdown,0,5,8,8
1141,1209,tengen toppa gurren lagann,11,0,4,9
1142,1210,left behind,0,8,8,1
1143,1211,serial experiments lain,11,1,14,133
1144,1212,the incal,4,2,3,103
1145,1213,people of earth,2,4,8,106
1146,1214,kôkaku kidôtai: stand alone complex,11,0,3,64
1147,1215,helix,1,15,5,19
1148,1216,the star wars holiday special,4,10,7,139
1149,1217,risen,1,9,13,6
1150,1218,darling in the franxx,11,0,1,0
1151,1219,the halfway house,1,8,5,31
1152,1220,dragon ball,11,0,4,9
1153,1221,lexx,0,5,2,2
1154,1222,quatermass and the pit,12,4,8,11
1155,1223,the new batman adventures,11,0,4,9
1156,1224,soulmates,1,11,8,33
1157,1225,the silencers,0,5,2,2
1158,1226,shin evangelion gekijôban,11,0,1,0
1159,1227,heroes reborn,1,8,8,70
1160,1228,dominion,0,1,9,81
1161,1229,beyond the black rainbow,12,9,13,162
1162,1230,catwoman: hunted,11,0,3,64
1163,1231,date a live,11,0,2,78
1164,1232,banana,11,16,2,111
1165,1233,trolljegeren,1,8,14,55
1166,1234,america: the motion picture,11,0,4,9
1167,1235,krypton,0,5,1,39
1168,1236,relic hunter,6,4,4,66
1169,1237,final fantasy vii remake,0,5,9,37
1170,1238,la cité des enfants perdus,1,8,8,70
1171,1239,surrealestate,1,8,5,31
1172,1240,the bionic woman,0,5,1,39
1173,1241,"the adventures of brisco county, jr.",0,5,2,2
1174,1242,happy death day 2u,2,15,5,150
1175,1243,october faction,4,1,9,13
1176,1244,the omega man,0,1,8,5
1177,1245,resident evil village,0,5,1,39
1178,1246,"batman: the long halloween, part two",11,0,3,64
1179,1247,minnal murali,0,5,2,2
1180,1248,escape plan 2: hades,0,3,5,76
1181,1249,parallels,4,8,5,72
1182,1250,children of dune,4,1,8,63
1183,1251,sphere,0,4,8,84
1184,1252,congo,0,5,5,29
1185,1253,untitled: the walking dead movie,1,15,8,42
1186,1254,superintelligence,0,2,10,158
1187,1255,stay alive,6,15,5,46
1188,1256,rangers of the new republic,0,5,1,39
1189,1257,truth seekers,2,1,9,32
1190,1258,caprica,0,1,8,5
1191,1259,breach,0,15,8,23
1192,1260,kiru ra kiru: kill la kill,11,0,2,78
1193,1261,sputnik,1,15,5,19
1194,1262,team darryl,13,2,8,62
1195,1263,lego star wars: the skywalker saga,0,5,2,2
1196,1264,seungriho,0,5,1,39
1197,1265,doom: annihilation,0,5,14,18
1198,1266,daleks' invasion earth 2150 a.d.,4,1,8,63
1199,1267,teenage mutant ninja turtles iii,0,5,2,2
1200,1269,somewhere between,1,4,8,168
1201,1270,i still see you,6,15,8,61
1202,1271,timecop,0,3,8,77
1203,1272,needle in a timestack,1,8,10,41
1204,1273,the jetsons,11,2,11,105
1205,1274,runaway,0,3,8,77
1206,1275,el ministerio del tiempo,0,5,2,2
1207,1276,what lies below,12,4,8,11
1208,1277,powerpuff,0,5,2,2
1209,1278,nightflyers,1,15,5,19
1210,1279,babylon a.d.,0,5,8,8
1211,1280,eight legged freaks,0,5,2,2
1212,1281,womb,1,11,8,33
1213,1282,voltron: legendary defender,11,0,4,9
1214,1283,zashchitniki,0,5,2,2
1215,1284,the acolyte,0,5,1,39
1216,1285,the divide,1,15,8,42
1217,1286,deep blue sea 3,0,15,8,23
1218,1287,garth marenghi's darkplace,2,8,14,44
1219,1288,galaxy of terror,0,5,14,18
1220,1289,the secret world of alex mack,2,1,11,73
1221,1290,the hungover games,4,2,9,38
1222,1291,star trek: insurrection,0,5,8,8
1223,1292,light of my life,1,9,13,6
1224,1293,outland,0,3,8,77
1225,1294,the x files: i want to believe,3,1,14,123
1226,1295,troglodyte,0,5,2,2
1227,1296,phenomenon,1,8,10,41
1228,1297,spacecamp,4,10,8,30
1229,1298,night of the creeps,2,15,8,4
1230,1299,skyline,0,9,13,40
1231,1300,fatman,0,5,2,2
1232,1301,"honey, i blew up the kid",4,2,11,45
1233,1302,avengers assemble,11,0,4,9
1234,1303,he-man and the masters of the universe,11,0,4,9
1235,1304,zenon: girl of the 21st century,4,2,11,45
1236,1305,hot tub time machine 2,2,4,8,106
1237,1306,millennium,3,1,14,123
1238,1308,little shop of horrors,2,15,7,143
1239,1309,kipo and the age of wonderbeasts,11,0,4,9
1240,1310,books of blood,1,15,5,19
1241,1311,justice league: the flashpoint paradox,11,0,4,9
1242,1312,the tomorrow people,0,1,8,5
1243,1313,"i, frankenstein",0,8,8,1
1244,1314,john dies at the end,2,8,14,44
1245,1315,danny phantom,11,0,4,9
1246,1316,*batteries not included,2,10,9,82
1247,1317,engage kiss,11,0,2,78
1248,1318,pandora,0,1,8,5
1249,1319,los cronocrímenes,5,9,13,26
1250,1320,avatar 3,0,5,9,37
1251,1322,double dragon,0,5,2,2
1252,1323,trigun,11,0,4,9
1253,1324,bloom,1,4,8,168
1254,1325,death race 2,0,3,8,77
1255,1326,legend of the white dragon,0,8,8,1
1256,1327,batman: death in the family,11,0,3,64
1257,1328,tremors: shrieker island,0,5,2,2
1258,1329,the selection,6,6,10,90
1259,1330,the darkest hour,0,5,14,18
1260,1331,the sarah jane adventures,0,5,1,39
1261,1332,amazing stories,0,5,1,39
1262,1333,fantastic voyage,4,10,8,30
1263,1334,fallout 4,0,5,8,8
1264,1335,the astronaut's wife,1,9,13,6
1265,1336,star trek: short treks,13,0,4,65
1266,1337,byeol-e-seo on geu-dae,2,1,9,32
1267,1338,sonic boom,11,16,0,7
1268,1340,mission to mars,4,9,13,91
1269,1341,psycho goreman,2,15,8,4
1270,1342,ashes to ashes,3,1,9,101
1271,1343,the discovery,1,11,8,33
1272,1344,the fantastic four,0,5,11,28
1273,1345,dexter's laboratory,11,16,4,10
1274,1346,the flintstones in viva rock vegas,2,10,10,130
1275,1348,the transformers: the movie,11,0,4,9
1276,1349,the tuxedo,0,2,8,43
1277,1350,jimmy neutron: boy genius,11,0,4,9
1278,1351,beowulf,0,5,9,37
1279,1352,shuumatsu no harem,11,1,10,148
1280,1353,teen titans go! to the movies,11,0,4,9
1281,1355,ghosted,2,3,14,107
1282,1357,astro boy,11,0,4,9
1283,1358,high-rise invasion,11,0,14,35
1284,1359,kairo,12,4,8,11
1285,1360,bride of frankenstein,1,15,8,42
1286,1361,liu lang di qiu,0,5,8,8
1287,1362,"batman: the dark knight returns, part 1",11,0,3,64
1288,1364,the peripheral,1,9,13,6
1289,1365,ginga eiyû densetsu,11,0,1,0
1290,1366,the lost room,0,8,5,157
1291,1367,hamster & gretel,11,0,4,9
1292,1368,blake's 7,4,1,8,63
1293,1369,limetown,3,4,8,47
1294,1370,the ghost busters,2,10,9,82
1295,1371,settlers,1,9,13,6
1296,1372,taken,1,4,8,168
1297,1373,tekken,0,3,1,184
1298,1374,starship troopers 3: marauder,0,5,8,8
1299,1375,the avengers: earth's mightiest heroes,11,0,4,9
1300,1376,jem and the holograms,4,1,11,137
1301,1378,final fantasy: the spirits within,11,0,4,9
1302,1379,from now,0,5,11,28
1303,1380,marvel's avengers,0,5,9,37
1304,1381,nowhere,2,1,8,75
1305,1382,no escape,0,1,8,5
1306,1383,highlander: endgame,0,5,9,37
1307,1384,the lazarus effect,12,4,8,11
1308,1385,friday the 13th: the series,6,15,5,46
1309,1387,skylines,0,5,8,8
1310,1388,god told me to,3,15,8,141
1311,1389,my super ex-girlfriend,2,11,8,79
1312,1390,frankenweenie,11,2,1,99
